Company Name,Sector,Number of Funds,Funds Holding This Stock,Yahoo_Ticker,Current Price (INR),90-Day ADV (Shares),Amihud Measure
Emami Ltd.,FMCG,1,Aditya Birla SL Large Cap Fund-,EMAMI.NS,,,
Axis Money Market Fund(G)-Direct Plan,Unknown Sector,1,Axis Large Cap Fund-Reg,AXIS.NS,,,
Axis Nifty ETF,Unknown Sector,1,Axis Large Cap Fund-Reg,AXIS.NS,,,
Aditya Birla Capital Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-,ADITYA.NS,,,
L&T Finance Ltd.,Financials,1,Mirae Asset Large Cap Fund-Reg,LT.NS,3785.6,2131973.0,1.1679485733374335e-12
Kalyan Jewellers India Ltd.,Retail and Other Services,1,Mirae Asset Large Cap Fund-Reg,KALYAN.NS,,,
Mirae Asset Cash Management(G)-Direct Plan,Unknown Sector,1,Mirae Asset Large Cap Fund-Reg,MIRAE.NS,,,
Kalpataru Projects International Ltd.,Infrastructure,1,Mirae Asset Large Cap Fund-Reg,KPIL.NS,1299.9,229636.0,6.69722810012341e-11
Indian Energy Exchange Ltd.,Energy,1,Mirae Asset Large Cap Fund-Reg,INDIAN.NS,,,
KPIT Technologies Ltd.,Technology,1,Mirae Asset Large Cap Fund-Reg,KPIT.NS,,,
Titagarh Rail Systems Ltd.,Automobile and Ancillaries,1,Mirae Asset Large Cap Fund-Reg,TITAGARH.NS,819.45,1188994.0,2.9677941193086795e-11
Chemplast Sanmar Ltd.,Chemicals,1,Mirae Asset Large Cap Fund-Reg,CHEMPLAST.NS,,,
Timken India Ltd.,Automobile and Ancillaries,1,Mirae Asset Large Cap Fund-Reg,TIMKEN.NS,3127.0,72292.0,8.129619822707335e-11
Gujarat Fluorochemicals Ltd.,Chemicals,1,Mirae Asset Large Cap Fund-Reg,GUJARAT.NS,,,
EPL Ltd.,FMCG,1,Mirae Asset Large Cap Fund-Reg,EPL.NS,233.06,614916.0,1.3084570245548277e-10
Devyani International Ltd.,FMCG,1,Nippon India Large Cap Fund,DEVYANI.NS,112.3,3281378.0,6.956035035297313e-11
Linde India Ltd.,Energy,1,Nippon India Large Cap Fund,LINDE.NS,,,
Chalet Hotels Ltd.,Travel,1,Nippon India Large Cap Fund,CHALET.NS,814.4,141203.0,1.6773710394124367e-10
Procter & Gamble Hygiene and Health Care Ltd.,FMCG,1,ICICI Pru Large Cap Fund,PROCTER.NS,,,
Container Corporation Of India Ltd.,Logistics,1,ICICI Pru Large Cap Fund,CONTAINER.NS,,,
Gillette India Ltd.,FMCG,1,Nippon India Large Cap Fund,GILLETTE.NS,7828.5,24731.0,5.4604139213696213e-11
SBI Cards And Payment Services Ltd.,Financials,1,Nippon India Large Cap Fund,SBI.NS,,,
EIH Ltd.,Travel,1,Nippon India Large Cap Fund,EIH.NS,,,
Gland Pharma Ltd.,Healthcare,1,Mirae Asset Large Cap Fund-Reg,GLAND.NS,2379.8,647172.0,2.915565408401526e-11
Colgate-Palmolive (India) Ltd.,FMCG,1,Nippon India Large Cap Fund,COLGATEPALMOLIVE.NS,,,
PVR Inox Ltd.,Media and Communications,1,Nippon India Large Cap Fund,PVR.NS,,,
Motherson Sumi Wiring India Ltd.,Automobile and Ancillaries,1,SBI Large Cap Fund-Reg,MOTHERSON.NS,145.55,21161079.0,5.402887813312798e-12
SKF India Ltd.,Automobile and Ancillaries,1,SBI Large Cap Fund-Reg,SKF.NS,,,
Blue Star Ltd.,Consumer Durables,1,LIC MF Large Cap Fund-Reg,BLUE.NS,,,
MOIL Ltd.,Energy,1,LIC MF Large Cap Fund-Reg,MOIL.NS,268.85,518136.0,8.20757956941438e-11
Allied Blenders And Distillers Ltd.,FMCG,1,LIC MF Large Cap Fund-Reg,ALLIED.NS,,,
Ujjivan Small Finance Bank Ltd.,Financials,1,LIC MF Large Cap Fund-Reg,UJJIVAN.NS,,,
Nippon Life India Asset Management Ltd.,Financials,1,LIC MF Large Cap Fund-Reg,NIPPON.NS,,,
Bharat Dynamics Ltd.,Capital Goods,1,LIC MF Large Cap Fund-Reg,BHARAT.NS,,,
Other Assets,Unknown Sector,1,Edelweiss Large Cap Fund-Reg,OTHER.NS,,,
Balrampur Chini Mills Ltd.,FMCG,1,Bank of India Large Cap Fund-Re,BALRAMPUR.NS,,,
Sky Gold and Diamonds Ltd.,Retail and Other Services,1,Bank of India Large Cap Fund-Re,SKY.NS,,,
OnEMI Technology Solutions Ltd.,Financials,1,Bank of India Large Cap Fund-Re,ONEMI.NS,,,
TD Power Systems Ltd.,Capital Goods,1,Bank of India Large Cap Fund-Re,TD.NS,,,
Stylam Industries Ltd.,Construction,1,Bank of India Large Cap Fund-Re,STYLAM.NS,,,
Quality Power Electrical Equipments Ltd.,Capital Goods,1,Bank of India Large Cap Fund-Re,QUALITY.NS,,,
CreditAccess Grameen Ltd.,Financials,1,Bank of India Large Cap Fund-Re,CREDITACCESS.NS,,,
Sanghvi Movers Ltd.,Logistics,1,ITI Large Cap Fund-Reg,SANGHVI.NS,,,
Shakti Pumps (India) Ltd.,Capital Goods,1,ITI Large Cap Fund-Reg,SHAKTI.NS,,,
360 One Wam Ltd.,Financials,1,JM Large Cap Fund-Reg,360.NS,,,
HDB Financial Services Ltd.,Financials,1,Mahindra Manulife Large Cap Fun,HDB.NS,,,
IIFL Finance Ltd.,Financials,1,ITI Large Cap Fund-Reg,IIFL.NS,556.55,3213104.0,1.7102061381747153e-11
Anirit Ventures Ltd.,Textile,1,JM Large Cap Fund-Reg,ANIRIT.NS,,,
Punjab National Bank (03-Jul-2026),Certificate of Deposit,1,ICICI Pru Large Cap Fund,PUNJAB.NS,,,
Raajmarg Infra Investment Trust,Unknown Sector,1,WOC Large Cap Fund-Reg,RAAJMARG.NS,,,
Astra Microwave Products Ltd.,Capital Goods,1,Kotak Large Cap Fund,ASTRA.NS,,,
V-Guard Industries Ltd.,Capital Goods,1,Kotak Large Cap Fund,VGUARD.NS,290.8,261974.0,1.8569830559782115e-10
Mahindra Lifespace Developers Ltd.,Construction,1,Kotak Large Cap Fund,MAHINDRA.NS,,,
The India Cements Ltd.,Construction,1,Kotak Large Cap Fund,THE.NS,,,
Voltas Ltd.,Consumer Durables,1,Kotak Large Cap Fund,VOLTAS.NS,1327.3,1036044.0,1.2084136802327168e-11
Afcons Infrastructure Ltd.,Infrastructure,1,Aditya Birla SL Large Cap Fund-,AFCONS.NS,285.95,1706184.0,9.077714410792369e-11
Astral Ltd.,Consumer Durables,1,UTI Large Cap Fund-Reg,ASTRAL.NS,1468.1,701042.0,1.7621404059931693e-11
Metropolis Healthcare Ltd.,Healthcare,1,UTI Large Cap Fund-Reg,METROPOLIS.NS,570.25,436816.0,1.4828947651374908e-10
Sanofi India Ltd.,Healthcare,1,Aditya Birla SL Large Cap Fund-,SANOFI.NS,3388.9,25122.0,1.1424791422989715e-10
Aditya Birla SL Nifty Next 50 ETF,Unknown Sector,1,Aditya Birla SL Large Cap Fund-,ADITYA.NS,,,
JSW Cement Ltd.,Construction,1,Tata Large Cap Fund-Reg,JSW.NS,,,
Sedemac Mechatronics Ltd.,Media and Communications,1,Sundaram Large Cap Fund-Reg,SEDEMAC.NS,2689.2,189786.0,6.353411318028495e-11
Flair Writing Industries Ltd.,FMCG,1,Motilal Oswal Large Cap Fund-Re,FLAIR.NS,252.5,159315.0,3.713283104277859e-10
Tanfac Industries Ltd.,Chemicals,1,Motilal Oswal Large Cap Fund-Re,TANFAC.NS,,,
Shadowfax Technologies Ltd.,Logistics,1,Motilal Oswal Large Cap Fund-Re,SHADOWFAX.NS,214.48,5102052.0,4.955056354252088e-11
GNG Electronics Ltd.,Miscellaneous,1,Motilal Oswal Large Cap Fund-Re,GNG.NS,,,
Solarworld Energy Solutions Ltd.,Infrastructure,1,Motilal Oswal Large Cap Fund-Re,SOLARWORLD.NS,201.93,669693.0,3.875410877445655e-10
Euro Pratik Sales Ltd.,Construction,1,Motilal Oswal Large Cap Fund-Re,EURO.NS,,,
Sambhv Steel Tubes Ltd.,Metals,1,Motilal Oswal Large Cap Fund-Re,SAMBHV.NS,115.92,1437138.0,1.1938951329030088e-10
Sagility Ltd.,Miscellaneous,1,Motilal Oswal Large Cap Fund-Re,SAGILITY.NS,40.42,17874635.0,2.004174663493332e-11
Cognizant Technology Solutions Corporation,Overseas Equity,1,Franklin India Large Cap Fund,COGNIZANT.NS,,,
Ipca Laboratories Ltd.,Healthcare,1,DSP Large Cap Fund-Reg,IPCA.NS,,,
Alembic Pharmaceuticals Ltd.,Healthcare,1,DSP Large Cap Fund-Reg,ALEMBIC.NS,,,
Capri Global Capital Ltd.,Financials,1,Quant Large Cap Fund-Reg,CAPRI.NS,,,
Cholamandalam Financial Holdings Ltd.,Financials,1,Motilal Oswal Large Cap Fund-Re,CHOLAMANDALAM.NS,,,
Brigade Hotel Ventures Ltd.,Travel,1,Motilal Oswal Large Cap Fund-Re,BRIGADE.NS,525.45,668593.0,7.337809939646324e-11
Endurance Technologies Ltd.,Automobile and Ancillaries,1,Franklin India Large Cap Fund,ENDURANCE.NS,2634.0,140560.0,4.4091040706367465e-11
Petronet LNG Ltd.,Energy,1,DSP Large Cap Fund-Reg,PETRONET.NS,274.7,2812284.0,1.619555132313562e-11
Call Money,Unknown Sector,1,Franklin India Large Cap Fund,CALL.NS,,,
The Federal Bank Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-,THE.NS,,,
Pine Labs Ltd.,Financials,1,Aditya Birla SL Large Cap Fund-,PINE.NS,,,
Balkrishna Industries Ltd.,Automobile and Ancillaries,1,UTI Large Cap Fund-Reg,BALKRISIND.NS,2013.5,174526.0,5.6348234774978995e-11
Shubh Shanti Services Ltd,Financials,1,UTI Large Cap Fund-Reg,SHUBH.NS,,,
Metro Brands Ltd.,Retail and Other Services,1,UTI Large Cap Fund-Reg,METRO.NS,,,
Coromandel International Ltd.,Chemicals,1,Kotak Large Cap Fund,COROMANDEL.NS,1980.8,346487.0,2.4958449340140765e-11
Apollo Tyres Ltd.,Automobile and Ancillaries,1,Kotak Large Cap Fund,APOLLO.NS,394.3,20491964.0,5.187169817507605e-12
Acme Solar Holdings Ltd.,Energy,1,Kotak Large Cap Fund,ACME.NS,,,
Hexaware Technologies Ltd.,Technology,1,ICICI Pru Large Cap Fund,HEXAWARE.NS,,,
Westlife Foodworld Ltd,Retail and Other Services,1,Tata Large Cap Fund-Reg,WESTLIFE.NS,459.15,129251.0,6.244026411580278e-10
Supreme Industries Ltd.,Consumer Durables,1,ICICI Pru Large Cap Fund,SUPREMEIND.NS,3458.9,204698.0,2.3289765660091555e-11
Cemindia Projects Ltd.,Infrastructure,1,Bank of India Large Cap Fund-Re,CEMINDIA.NS,,,
Escorts Kubota Ltd.,Automobile and Ancillaries,1,Baroda BNP Paribas Large Cap Fu,ESCORTS.NS,2905.1,139529.0,3.208903808081014e-11
Ethos Ltd.,Retail and Other Services,1,Bandhan Large Cap Fund-Reg,ETHOS.NS,,,
Canara HSBC Life Insurance Company Ltd.,Financials,1,Bandhan Large Cap Fund-Reg,CANARA.NS,,,
Honasa Consumer Ltd.,Miscellaneous,1,Bandhan Large Cap Fund-Reg,HONASA.NS,448.6,2522124.0,3.288691654772748e-11
Amber Enterprises India Ltd.,Consumer Durables,1,Bandhan Large Cap Fund-Reg,AMBER.NS,7261.5,393483.0,6.724761863860909e-12
Dr. Agarwal's Health Care Ltd.,Healthcare,1,Bandhan Large Cap Fund-Reg,DR.NS,,,
RBL Bank Ltd.,Financials,1,Bandhan Large Cap Fund-Reg,RBL.NS,,,
Astrazeneca Pharma India Ltd.,Healthcare,1,Bandhan Large Cap Fund-Reg,ASTRAZENECA.NS,,,
PTC Industries Ltd.,Automobile and Ancillaries,1,Invesco India Largecap Fund-Reg,PTC.NS,164.4,1344213.0,8.73087693713667e-11
Sai Life Sciences Ltd.,Healthcare,1,Invesco India Largecap Fund-Reg,SAI.NS,,,
Jyoti CNC Automation Ltd.,Capital Goods,1,Invesco India Largecap Fund-Reg,JYOTI.NS,,,
Aditya Infotech Ltd.,Miscellaneous,1,Invesco India Largecap Fund-Reg,ADITYA.NS,,,
Sterlite Technologies Ltd.,Capital Goods,1,HSBC Large Cap Fund,STERLITE.NS,,,
Laurus Labs Ltd.,Healthcare,1,Edelweiss Large Cap Fund-Reg,LAURUS.NS,,,
MTAR Technologies Ltd.,Capital Goods,1,Bandhan Large Cap Fund-Reg,MTAR.NS,,,
Global Health Ltd.,Healthcare,1,Invesco India Largecap Fund-Reg,MEDANTA.NS,1371.0,242194.0,5.821043340767639e-11
Home First Finance Company India Ltd.,Financials,1,Invesco India Largecap Fund-Reg,HOME.NS,,,
Alkem Laboratories Ltd.,Healthcare,1,Edelweiss Large Cap Fund-Reg,ALKEM.NS,5633.5,144322.0,1.6193057074295493e-11
NMDC Ltd.,Energy,1,Edelweiss Large Cap Fund-Reg,NMDC.NS,83.56,23924655.0,6.025589134505783e-12
Steel Authority Of India Ltd.,Metals,1,Edelweiss Large Cap Fund-Reg,STEEL.NS,,,
Fortis Healthcare Ltd.,Healthcare,1,Edelweiss Large Cap Fund-Reg,FORTIS.NS,948.7,1362662.0,8.900277035954851e-12
REC Ltd.,Financials,1,Parag Parikh Large Cap Fund-Reg,REC.NS,,,
Anantam Highways Trust,Unknown Sector,1,WOC Large Cap Fund-Reg,ANANTAM.NS,,,
Indian Bank,Financials,1,Edelweiss Large Cap Fund-Reg,INDIAN.NS,,,
Orient Cement Ltd.,Construction,1,Parag Parikh Large Cap Fund-Reg,ORIENT.NS,,,
Indian Railway Finance Corporation Ltd.,Financials,1,Parag Parikh Large Cap Fund-Reg,INDIAN.NS,,,
TVS Srichakra Ltd.,Automobile and Ancillaries,1,Bank of India Large Cap Fund-Re,TVS.NS,,,
PNGS Reva Diamond Jewellery Ltd.,Retail and Other Services,1,Groww Largecap Fund-Reg,PNGS.NS,,,
ICICI Pru Nifty Metal ETF,Unknown Sector,1,Groww Largecap Fund-Reg,ICICI.NS,,,
Advit Jewels Ltd.,Retail and Other Services,1,Taurus Large Cap Fund-Reg,ADVIT.NS,,,
Insolation Energy Ltd.,Capital Goods,1,Taurus Large Cap Fund-Reg,INSOLATION.NS,,,
General Insurance Corporation of India,Financials,1,Taurus Large Cap Fund-Reg,GENERAL.NS,,,
Narayana Hrudayalaya Ltd.,Healthcare,1,Taurus Large Cap Fund-Reg,NARAYANA.NS,,,
